% function evaluation | noise-free fitness - Fopt (-1.694000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
12 +1.659886680e+01 +1.659886680e+01 -1.816411332e+02 -1.816411332e+02 +4.3614e+00 +2.8950e+00 +3.8485e+00 +4.7774e+00 -4.5148e+00 +1.3915e+00 -4.0087e+00 -3.0318e+00 -8.0732e-01 -3.0233e-01 +1.3908e+00 -2.9081e+00 -9.9575e-01 +4.8841e+00 +7.6277e-01 +1.0884e+00 -4.7257e+00 -4.7363e+00 +3.1411e-01 -1.2787e+00
25 +1.182275924e+01 +1.182275924e+01 -1.864172408e+02 -1.864172408e+02 +4.7461e+00 +4.4531e+00 +2.8529e+00 -2.1324e+00 -3.7376e+00 -4.4463e+00 -3.3439e+00 +1.4925e+00 -1.1843e+00 +2.9756e+00 +1.0838e+00 +1.2174e+00 -4.3324e+00 +3.1328e+00 -2.2117e+00 +1.3835e+00 +2.5101e+00 -3.1181e+00 -4.6809e+00 -2.3966e+00
55 +9.886629301e+00 +9.886629301e+00 -1.883533707e+02 -1.883533707e+02 +4.1671e+00 +2.7180e-01 +1.7574e+00 -4.9021e-01 -3.1489e+00 -3.4307e+00 -3.8074e+00 +1.8333e-01 -1.5058e+00 +3.0891e+00 +1.0461e+00 +9.2217e-01 -8.0890e-01 +2.5377e+00 -3.9183e+00 +1.0897e+00 +1.4210e-01 -1.4575e+00 -1.0017e+00 +1.7664e+00
125 +6.272685215e+00 +6.272685215e+00 -1.919673148e+02 -1.919673148e+02 +4.4205e+00 +3.6522e+00 +2.7324e+00 -1.5057e+00 -1.1910e+00 -1.2781e+00 -7.6112e-01 +1.9060e+00 -8.3633e-01 +2.1525e+00 +2.9709e+00 -8.4252e-01 -3.5743e+00 +3.1434e+00 -5.5407e-01 +1.1248e+00 +8.0322e-01 -3.0202e+00 -1.3863e+00 -1.4905e+00
% function evaluation | noise-free fitness - Fopt (-6.470000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.133000036e+01 +3.133000036e+01 +2.486000036e+01 +2.486000036e+01 -2.0211e+00 +5.8333e-01 +3.0906e+00 -1.7125e+00 +3.3117e+00 +4.5648e+00 -2.6453e-01 -4.3102e+00 +1.9127e+00 +5.6642e-01 -2.4718e+00 -2.3759e+00 +2.7313e+00 +3.5768e+00 -4.2280e+00 -4.2255e+00 +3.1482e+00 -1.2626e+00 -1.5311e+00 -2.9495e-01
5 +2.435042797e+01 +2.435042797e+01 +1.788042797e+01 +1.788042797e+01 -2.9405e+00 +1.9553e+00 -4.6878e-01 -2.8917e+00 -1.3457e+00 +4.8442e+00 -2.3433e+00 -3.9371e+00 -1.1184e+00 -4.8107e+00 -2.7920e+00 -1.4046e+00 -8.1955e-01 -6.5242e-01 +5.5883e-01 -3.6801e+00 -4.4794e+00 -7.4141e-01 -3.1378e+00 -2.4230e+00
35 +1.271590198e+01 +1.271590198e+01 +6.245901981e+00 +6.245901981e+00 -3.3416e+00 +1.1906e+00 -1.9319e+00 +1.0107e+00 -1.4639e+00 -4.3775e+00 -2.6155e+00 +3.9805e+00 +1.3936e+00 -1.2105e+00 +4.2570e+00 -4.7384e+00 -1.1210e+00 +1.7638e+00 +4.8436e+00 -2.9672e+00 -3.7808e+00 +3.0989e-01 +2.3656e+00 -9.7106e-01
189 +9.276403917e+00 +9.276403917e+00 +2.806403917e+00 +2.806403917e+00 -1.3627e+00 +2.1380e+00 -1.3319e+00 +1.2442e+00 +1.8439e-01 -2.8735e+00 -2.6200e+00 +3.8313e+00 +1.5823e+00 -1.1516e+00 +4.2574e+00 -4.5641e+00 -2.1151e+00 +1.7458e+00 +2.0335e+00 -2.8571e+00 -2.9699e+00 +4.9534e-01 +1.3747e+00 -1.1558e+00
% function evaluation | noise-free fitness - Fopt (2.055300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.998783445e+01 +1.998783445e+01 +2.255178345e+02 +2.255178345e+02 -2.6669e+00 +1.8946e+00 +4.7189e+00 -2.5650e+00 -2.8278e+00 +3.9386e+00 +4.0429e+00 -7.9834e-01 +2.1436e+00 +2.0333e+00 -2.8384e+00 +3.1047e+00 +1.2552e+00 -2.5653e+00 +9.4958e-02 -3.6887e+00 +4.6346e+00 -3.5160e+00 -1.1640e+00 -4.5775e+00
19 +1.488771744e+01 +1.488771744e+01 +2.204177174e+02 +2.204177174e+02 -3.0422e+00 -3.4511e-01 +7.2727e-01 +1.2914e+00 +3.4257e+00 +4.0515e+00 +1.0055e+00 -1.7638e+00 -2.2241e+00 +2.4178e+00 -2.4513e+00 +1.5574e+00 -4.1467e+00 -3.8506e+00 -2.4365e+00 -2.9214e-01 -4.6330e+00 -4.2742e+00 -1.9951e+00 -6.7447e-01
107 +9.886898043e+00 +9.886898043e+00 +2.154168980e+02 +2.154168980e+02 -2.0754e+00 -1.5197e+00 -4.4607e+00 -1.3544e+00 +2.0767e+00 -1.0270e+00 +1.7286e+00 +5.0008e-01 -1.8487e+00 +2.9968e-01 -1.5376e+00 -1.4737e+00 -4.4687e-01 -9.0734e-01 -2.9353e+00 -3.4876e-01 +6.9760e-01 -2.6753e+00 +4.5776e-01 -4.0725e-01
612 +6.299322587e+00 +6.299322587e+00 +2.118293226e+02 +2.118293226e+02 -1.5993e+00 -2.1407e+00 -2.3192e-01 -1.0944e+00 +2.7370e-01 -1.2005e+00 +1.7612e+00 +6.1966e-01 -1.4991e+00 -2.7996e-01 -1.6092e+00 -1.3494e+00 +9.8422e-01 -2.0104e+00 -2.6183e+00 -1.6280e+00 +7.7269e-01 -3.2391e+00 -1.8455e-01 +1.4225e+00
% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.131506094e+01 +6.131506094e+01 +1.061315061e+03 +1.061315061e+03 -4.8400e-02 +1.2862e+00 +2.4721e+00 +2.7120e+00 -3.6756e+00 -4.3823e+00 +3.1858e+00 +1.8913e-01 -2.8945e+00 -1.5527e+00 -3.1520e+00 +4.7728e+00 +5.8729e-01 -3.0395e+00 +7.8831e-01 +1.4953e+00 -2.9380e+00 +1.2265e+00 +2.6383e+00 +1.1535e+00
2 +3.749008680e+01 +3.749008680e+01 +1.037490087e+03 +1.037490087e+03 -2.5279e+00 -4.8494e+00 +3.1513e+00 +4.0146e+00 -3.6680e+00 -4.0774e+00 -2.4803e+00 +2.0694e+00 -2.1381e+00 -1.7396e+00 -3.9651e+00 -1.6432e+00 -3.7273e+00 -4.6728e+00 +2.3478e-01 +3.7247e-01 -2.8669e+00 +1.6209e+00 -2.1355e+00 +1.0921e+00
38 +1.660630439e+01 +1.660630439e+01 +1.016606304e+03 +1.016606304e+03 -7.0472e-01 +4.5296e+00 -2.4312e+00 +1.8857e+00 -7.7574e-01 +7.0378e-01 +3.8913e-01 +1.1799e-01 +4.1787e+00 -2.3049e+00 -3.2495e+00 -1.7048e+00 +2.0113e+00 -1.1775e+00 -3.2677e+00 -1.2155e-01 +3.9020e+00 -2.3435e-01 -2.9810e+00 -4.5666e+00
42 +1.218327493e+01 +1.218327493e+01 +1.012183275e+03 +1.012183275e+03 -2.2613e+00 -1.9985e+00 -5.9167e-01 +2.5209e+00 -2.4713e+00 -2.5005e+00 -3.8354e-01 +5.4437e-01 +1.9513e-02 -2.2798e+00 -3.3592e+00 -1.6867e+00 -2.6358e+00 -1.7298e+00 +6.5219e-02 +1.0868e-01 +3.0103e+00 +4.4296e-01 -2.3450e+00 -2.3813e+00
96 +9.827689988e+00 +9.827689988e+00 +1.009827690e+03 +1.009827690e+03 -2.6724e-01 +3.9542e+00 +3.3396e-01 +2.5544e+00 +2.1354e+00 +3.5814e+00 +9.7602e-01 -2.3275e+00 +1.7730e-01 -1.6985e+00 +2.8580e-01 -1.3442e+00 +1.5486e+00 -1.2214e+00 -2.9182e+00 +7.4639e-01 +9.2944e-01 +2.1913e+00 -2.1534e+00 -8.4464e-01
