% function evaluation | noise-free fitness - Fopt (7.627000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
6 +1.143477059e+06 +1.143477059e+06 +1.143463819e+06 +1.143463819e+06 +4.4665e+00 +3.0231e+00 -1.6165e+00
9 +3.221165758e+04 +3.221165758e+04 +3.219841758e+04 +3.219841758e+04 +2.9254e+00 +1.8488e+00 -4.1365e+00
26 +2.512604933e+02 +2.512604933e+02 +2.380204933e+02 +2.380204933e+02 +2.5005e+00 -3.2485e+00 -3.2713e+00
142 +4.297840014e+01 +4.297840014e+01 +2.973840014e+01 +2.973840014e+01 +2.5784e+00 -2.4508e+00 -3.2680e+00
249 +3.498870009e+01 +3.498870009e+01 +2.174870009e+01 +2.174870009e+01 +2.5806e+00 -2.4678e+00 -3.2677e+00
% function evaluation | noise-free fitness - Fopt (-4.812000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.772952747e+07 +2.772952747e+07 +2.772947935e+07 +2.772947935e+07 +5.0721e-01 +3.3681e+00 -4.6501e+00
2 +7.865795524e+06 +7.865795524e+06 +7.865747404e+06 +7.865747404e+06 +2.6160e+00 -6.5876e-01 +4.0204e+00
3 +1.663643707e+06 +1.663643707e+06 +1.663595587e+06 +1.663595587e+06 +2.9689e-01 -1.6720e+00 -5.5486e-01
11 +1.217738581e+05 +1.217738581e+05 +1.217257381e+05 +1.217257381e+05 -3.1546e+00 +1.5422e+00 +4.4470e+00
30 +9.936161706e+04 +9.936161706e+04 +9.931349706e+04 +9.931349706e+04 +7.3474e-01 -4.1520e+00 -1.6516e-02
51 +8.095571248e+03 +8.095571248e+03 +8.047451248e+03 +8.047451248e+03 -1.3636e+00 -1.5618e+00 +9.2769e-01
84 +1.033585319e+02 +1.033585319e+02 +5.523853185e+01 +5.523853185e+01 -1.3636e+00 -1.5618e+00 +3.7719e-01
156 +2.291998233e+01 +2.291998233e+01 -2.520001767e+01 -2.520001767e+01 -1.2842e+00 -1.6314e+00 +3.8301e-01
184 +3.602131377e+00 +3.602131377e+00 -4.451786862e+01 -4.451786862e+01 -1.2842e+00 -1.6314e+00 +3.6404e-01
248 +1.602765795e+00 +1.602765795e+00 -4.651723421e+01 -4.651723421e+01 -1.2577e+00 -1.6552e+00 +3.6413e-01
281 +1.527421481e+00 +1.527421481e+00 -4.659257852e+01 -4.659257852e+01 -1.2738e+00 -1.6410e+00 +3.5719e-01
% function evaluation | noise-free fitness - Fopt (-3.335000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.035359450e+06 +4.035359450e+06 +4.035326100e+06 +4.035326100e+06 +1.2754e+00 +1.5722e+00 +1.2914e+00
3 +1.603703846e+04 +1.603703846e+04 +1.600368846e+04 +1.600368846e+04 +1.0283e-01 -1.6410e+00 +2.3936e+00
27 +3.753189875e+03 +3.753189875e+03 +3.719839875e+03 +3.719839875e+03 +2.1570e+00 -3.3013e+00 +3.0280e-03
118 +2.153159762e+03 +2.153159762e+03 +2.119809762e+03 +2.119809762e+03 +2.3994e+00 -3.2754e+00 -1.7838e-01
126 +5.894713732e+02 +5.894713732e+02 +5.561213732e+02 +5.561213732e+02 +2.0616e+00 -3.3979e+00 -1.3025e-01
133 +6.371772856e+01 +6.371772856e+01 +3.036772856e+01 +3.036772856e+01 +2.3759e+00 -3.1333e+00 -1.0568e-01
187 +4.583027986e+01 +4.583027986e+01 +1.248027986e+01 +1.248027986e+01 +2.2762e+00 -3.2029e+00 -1.1049e-01
213 +9.198733569e-01 +9.198733569e-01 -3.243012664e+01 -3.243012664e+01 +2.2865e+00 -3.2033e+00 -1.0814e-01
% function evaluation | noise-free fitness - Fopt (-1.712100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.838643072e+05 +2.838643072e+05 +2.836930972e+05 +2.836930972e+05 -3.3313e+00 -3.9308e-02 +1.4507e+00
4 +1.491025126e+04 +1.491025126e+04 +1.473904126e+04 +1.473904126e+04 +1.5725e+00 -1.9404e+00 -1.2928e-01
18 +7.307522472e+03 +7.307522472e+03 +7.136312472e+03 +7.136312472e+03 +4.9740e+00 -3.7723e+00 +4.3184e+00
20 +2.497151782e+01 +2.497151782e+01 -1.462384822e+02 -1.462384822e+02 -4.6305e+00 +5.7271e-01 -2.8411e+00
163 +7.797913994e+00 +7.797913994e+00 -1.634120860e+02 -1.634120860e+02 -4.6245e+00 +5.7277e-01 -2.8314e+00
% function evaluation | noise-free fitness - Fopt (-5.710000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.786448143e+06 +2.786448143e+06 +2.786391043e+06 +2.786391043e+06 +4.3532e+00 -5.5217e-01 -2.2772e+00
4 +1.234483935e+06 +1.234483935e+06 +1.234426835e+06 +1.234426835e+06 -3.5906e-01 -3.5967e+00 +2.3006e+00
5 +1.294729924e+05 +1.294729924e+05 +1.294158924e+05 +1.294158924e+05 +3.7689e+00 +1.1568e+00 -4.6337e+00
10 +4.741807701e+03 +4.741807701e+03 +4.684707701e+03 +4.684707701e+03 -1.4146e+00 -3.2620e+00 +2.3270e+00
23 +3.645377617e+03 +3.645377617e+03 +3.588277617e+03 +3.588277617e+03 +1.8694e-02 +2.3620e+00 +4.8018e+00
51 +1.169782298e+03 +1.169782298e+03 +1.112682298e+03 +1.112682298e+03 +1.7411e-01 +3.7499e-01 +2.4020e+00
100 +1.894169432e+01 +1.894169432e+01 -3.815830568e+01 -3.815830568e+01 +8.6236e-02 +5.6711e-02 +2.3421e+00
140 +3.180337686e+00 +3.180337686e+00 -5.391966231e+01 -5.391966231e+01 +8.6236e-02 +5.6711e-02 +2.3497e+00
% function evaluation | noise-free fitness - Fopt (2.965400000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.370648449e+07 +2.370648449e+07 +2.370678103e+07 +2.370678103e+07 +2.6090e-01 +5.6105e-01 +1.9014e+00
6 +3.563711098e+06 +3.563711098e+06 +3.564007638e+06 +3.564007638e+06 -3.0429e+00 +2.0357e+00 -1.2435e+00
15 +2.592480181e+05 +2.592480181e+05 +2.595445581e+05 +2.595445581e+05 -2.9049e+00 -2.0892e-01 -4.1296e+00
23 +9.262008879e+04 +9.262008879e+04 +9.291662879e+04 +9.291662879e+04 -4.7119e+00 +2.4252e+00 -1.8606e+00
26 +2.863480672e+04 +2.863480672e+04 +2.893134672e+04 +2.893134672e+04 -3.3937e+00 -4.2937e+00 +1.5311e+00
55 +5.292475924e+02 +5.292475924e+02 +8.257875924e+02 +8.257875924e+02 -3.3681e+00 -1.5954e+00 -2.1777e+00
171 +1.819625255e+02 +1.819625255e+02 +4.785025255e+02 +4.785025255e+02 -3.3672e+00 -1.6265e+00 -2.1775e+00
202 +5.997645009e+01 +5.997645009e+01 +3.565164501e+02 +3.565164501e+02 -3.3429e+00 -1.7138e+00 -2.1690e+00
242 +3.447770281e+01 +3.447770281e+01 +3.310177028e+02 +3.310177028e+02 -3.3461e+00 -1.7138e+00 -2.1690e+00
% function evaluation | noise-free fitness - Fopt (-1.118800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.299181223e+07 +1.299181223e+07 +1.299170035e+07 +1.299170035e+07 +2.9072e+00 -4.3674e+00 -2.8583e+00
2 +6.257617625e+05 +6.257617625e+05 +6.256498825e+05 +6.256498825e+05 +3.0140e+00 +2.5927e+00 -3.8531e+00
11 +3.177501625e+05 +3.177501625e+05 +3.176382825e+05 +3.176382825e+05 -2.2531e+00 -2.0938e-01 +1.3647e+00
18 +2.148922322e+05 +2.148922322e+05 +2.147803522e+05 +2.147803522e+05 -3.3286e+00 +4.8755e+00 +4.4787e-02
29 +3.876339426e+04 +3.876339426e+04 +3.865151426e+04 +3.865151426e+04 +5.2789e-01 -1.0238e+00 +1.3623e+00
50 +2.891783372e+03 +2.891783372e+03 +2.779903372e+03 +2.779903372e+03 -1.7621e+00 +1.1079e+00 +9.3756e-01
95 +6.972953179e+02 +6.972953179e+02 +5.854153179e+02 +5.854153179e+02 -1.4360e+00 +1.0163e+00 +9.1439e-01
158 +3.976137779e+02 +3.976137779e+02 +2.857337779e+02 +2.857337779e+02 -1.6795e+00 +1.0395e+00 +9.8047e-01
179 +2.115334796e+01 +2.115334796e+01 -9.072665204e+01 -9.072665204e+01 -1.5389e+00 +1.0332e+00 +9.3478e-01
215 +1.359368642e+01 +1.359368642e+01 -9.828631358e+01 -9.828631358e+01 -1.5312e+00 +1.0038e+00 +9.4170e-01
269 +8.350398081e+00 +8.350398081e+00 -1.035296019e+02 -1.035296019e+02 -1.5345e+00 +1.0181e+00 +9.3836e-01
